Delegacia;Furtos na região;Roubo de carga;Roubos;Roubo de Veiculo;Furto de veiculo;Latrocinios;Homicídio doloso por acidente de trânsito;Homicídio Culposo por acidente de Trânsito;Homicídio Culposo;Tentativa de Homicídio;Lesão Corporal seguida de morte;Lesão Corporal Dolosa;Lesão Corporal Culposa por acidente de trânsito;Lesão Corporal Culposa;Estupro;Estupro de vulnerável;Roubo de veiculos;Roubo a Banco ;Ano
053 DP - Parque do Carmo;969,00;71,00;1380,00;0,00;353,00;6,00;0,00;2,00;1,00;10,00;0,00;338,00;168,00;6,00;8,00;22,00;313,00;0,00;2020
053 DP - Parque do Carmo;1325,00;43,00;1285,00;1,00;549,00;9,00;0,00;3,00;0,00;6,00;0,00;315,00;161,00;4,00;12,00;23,00;428,00;0,00;2019
054 DP - Cidade Tiradentes;1125,00;110,00;1575,00;1,00;231,00;19,00;0,00;5,00;0,00;14,00;1,00;418,00;81,00;3,00;5,00;31,00;261,00;0,00;2020
054 DP - Cidade Tiradentes;1176,00;77,00;1460,00;2,00;285,00;17,00;0,00;9,00;0,00;14,00;1,00;463,00;102,00;8,00;9,00;33,00;328,00;0,00;2019
055 DP - Parque São Rafael;904,00;35,00;972,00;1,00;230,00;9,00;0,00;1,00;1,00;7,00;1,00;206,00;46,00;6,00;4,00;13,00;279,00;0,00;2020
055 DP - Parque São Rafael;1139,00;28,00;1245,00;1,00;261,00;15,00;0,00;7,00;0,00;9,00;0,00;230,00;79,00;7,00;4,00;19,00;460,00;0,00;2019
056 DP - Vila Alpina;964,00;19,00;697,00;1,00;408,00;2,00;1,00;2,00;0,00;4,00;0,00;133,00;97,00;7,00;4,00;5,00;153,00;1,00;2020
056 DP - Vila Alpina;1455,00;28,00;1181,00;0,00;674,00;3,00;0,00;1,00;0,00;3,00;0,00;172,00;143,00;9,00;4,00;5,00;215,00;0,00;2019
057 DP - Parque da Moóca;585,00;5,00;322,00;0,00;288,00;0,00;0,00;0,00;0,00;0,00;0,00;128,00;49,00;9,00;4,00;6,00;38,00;1,00;2020
057 DP - Parque da Moóca;633,00;5,00;337,00;0,00;331,00;0,00;0,00;0,00;1,00;0,00;0,00;113,00;76,00;8,00;7,00;4,00;69,00;0,00;2019
058 DP - Vila Formosa;430,00;6,00;450,00;0,00;332,00;1,00;0,00;2,00;0,00;3,00;0,00;97,00;45,00;1,00;1,00;5,00;78,00;0,00;2020
058 DP - Vila Formosa;545,00;2,00;479,00;0,00;442,00;1,00;0,00;4,00;0,00;4,00;0,00;149,00;88,00;0,00;5,00;6,00;96,00;0,00;2019
059 DP - Jardim Noemia;692,00;27,00;944,00;1,00;105,00;3,00;0,00;1,00;0,00;5,00;0,00;250,00;50,00;2,00;8,00;21,00;112,00;0,00;2020
059 DP - Jardim Noemia;959,00;25,00;1113,00;0,00;157,00;7,00;0,00;1,00;0,00;8,00;0,00;278,00;65,00;10,00;5,00;34,00;161,00;0,00;2019
062 DP - Ermelino Matarazzo;1339,00;18,00;1051,00;0,00;210,00;11,00;0,00;7,00;0,00;10,00;2,00;280,00;103,00;16,00;6,00;19,00;102,00;1,00;2020
062 DP - Ermelino Matarazzo;1588,00;17,00;1108,00;0,00;354,00;7,00;2,00;4,00;0,00;9,00;1,00;391,00;113,00;8,00;5,00;23,00;87,00;0,00;2019
063 DP - Vila Jacuí;1383,00;14,00;1420,00;1,00;280,00;11,00;0,00;7,00;0,00;8,00;1,00;355,00;125,00;12,00;8,00;35,00;192,00;0,00;2020
063 DP - Vila Jacuí;1669,00;33,00;1336,00;0,00;404,00;9,00;0,00;8,00;0,00;6,00;0,00;387,00;125,00;14,00;9,00;36,00;214,00;0,00;2019
064 DP - Cidade A E Carvalho;1795,00;14,00;1584,00;1,00;422,00;10,00;0,00;4,00;0,00;7,00;3,00;476,00;67,00;20,00;11,00;29,00;189,00;1,00;2020
064 DP - Cidade A E Carvalho;2389,00;13,00;1544,00;0,00;517,00;12,00;0,00;3,00;0,00;7,00;0,00;533,00;103,00;12,00;7,00;40,00;278,00;0,00;2019
065 DP - Artur Alvim;1745,00;5,00;911,00;0,00;255,00;4,00;0,00;7,00;0,00;4,00;0,00;233,00;76,00;5,00;4,00;11,00;122,00;0,00;2020
065 DP - Artur Alvim;2586,00;3,00;1091,00;1,00;287,00;4,00;0,00;2,00;1,00;4,00;0,00;310,00;102,00;14,00;3,00;6,00;226,00;0,00;2019
066 DP - Vale do Aricanduva;1233,00;15,00;1269,00;0,00;361,00;2,00;0,00;7,00;0,00;3,00;0,00;331,00;107,00;5,00;3,00;17,00;192,00;0,00;2020
066 DP - Vale do Aricanduva;1596,00;19,00;1514,00;1,00;420,00;5,00;0,00;6,00;0,00;12,00;0,00;356,00;145,00;3,00;6,00;19,00;309,00;0,00;2019
067 DP - Jardim Robru;809,00;24,00;1022,00;1,00;104,00;6,00;0,00;0,00;0,00;1,00;0,00;226,00;31,00;3,00;1,00;29,00;98,00;0,00;2020
067 DP - Jardim Robru;1013,00;15,00;1118,00;0,00;152,00;3,00;0,00;2,00;0,00;5,00;0,00;249,00;53,00;8,00;2,00;38,00;182,00;0,00;2019
068 DP - Lajeado;1086,00;7,00;1404,00;1,00;156,00;6,00;0,00;3,00;0,00;8,00;2,00;302,00;81,00;7,00;6,00;31,00;207,00;0,00;2020
068 DP - Lajeado;1202,00;16,00;1641,00;0,00;172,00;11,00;0,00;3,00;0,00;6,00;0,00;391,00;114,00;3,00;16,00;44,00;329,00;0,00;2019
069 DP - Teotônio Vilela;1260,00;31,00;1363,00;0,00;543,00;10,00;0,00;3,00;0,00;8,00;1,00;384,00;120,00;8,00;10,00;38,00;267,00;0,00;2020
069 DP - Teotônio Vilela;1925,00;39,00;1716,00;1,00;878,00;12,00;0,00;5,00;2,00;10,00;1,00;392,00;125,00;8,00;12,00;36,00;484,00;0,00;2019
070 DP - Vila Ema;905,00;43,00;1309,00;2,00;497,00;15,00;0,00;6,00;0,00;7,00;0,00;209,00;113,00;16,00;5,00;23,00;241,00;0,00;2020
070 DP - Vila Ema;1052,00;44,00;1602,00;0,00;747,00;12,00;0,00;2,00;0,00;9,00;0,00;281,00;155,00;7,00;7,00;33,00;397,00;0,00;2019
072 DP - Vila Penteado;881,00;30,00;745,00;0,00;96,00;17,00;0,00;5,00;1,00;9,00;0,00;223,00;116,00;6,00;4,00;29,00;81,00;0,00;2020
072 DP - Vila Penteado;1261,00;55,00;1375,00;1,00;184,00;9,00;0,00;4,00;1,00;9,00;2,00;322,00;191,00;10,00;11,00;27,00;222,00;0,00;2019
073 DP - Jaçanã;1791,00;91,00;1774,00;1,00;397,00;14,00;0,00;22,00;1,00;16,00;0,00;513,00;171,00;38,00;13,00;53,00;267,00;0,00;2020
073 DP - Jaçanã;2001,00;47,00;2032,00;2,00;441,00;30,00;0,00;25,00;1,00;19,00;0,00;613,00;265,00;21,00;15,00;58,00;403,00;0,00;2019
074 DP - Jaraguá;1387,00;259,00;1587,00;1,00;261,00;17,00;0,00;10,00;0,00;10,00;1,00;459,00;115,00;10,00;8,00;60,00;234,00;0,00;2020
074 DP - Jaraguá;1576,00;232,00;1959,00;1,00;322,00;11,00;0,00;1,00;1,00;17,00;0,00;544,00;170,00;5,00;11,00;56,00;310,00;0,00;2019
